id,Response
381110,0.005875624167093681
381111,0.7500242065178451
381112,0.7534886559527977
381113,0.047618379932293925
381114,0.0022160024694470215
381115,0.001560270469131484
381116,0.003060015106001917
381117,0.003193926340903653
381118,0.8112096093734054
381119,0.010070041639372479
381120,0.006643826586852058
381121,0.6686070867030458
381122,0.001845496735936434
381123,0.7765028186666377
381124,0.5933168312912225
381125,0.0038285846987001332
381126,0.5140327159421175
381127,0.7279961835673757
381128,0.0029234539208932513
381129,0.0049538968739212775
381130,0.001613878331091402
381131,0.0021141250975058425
381132,0.24274102780827078
381133,0.7328253685819129
381134,0.6615752142504302
381135,0.0022055267083713726
381136,0.0013890682596715183
381137,0.006652181218843499
381138,0.006738453110811398
381139,0.002018533763601783
381140,0.4822153515400938
381141,0.0013093051124986907
381142,0.0006750952191284609
381143,0.004580580041416838
381144,0.42004039594708936
381145,0.7723395209814164
381146,0.0010062921665268418
381147,0.18289149846758937
381148,0.0027247517189820337
381149,0.0027627369639477437
381150,0.7557804014104192
381151,0.7568578936729234
381152,0.0020004861977160992
381153,0.7458083403468824
381154,0.8015913462840425
381155,0.8010311607790082
381156,0.0010650582048515602
381157,0.15790914340812046
381158,0.7901484555699075
381159,0.5467246148676326
381160,0.7581719390565387
381161,0.03734755353254214
381162,0.002004383711897
381163,0.7512726919926662
381164,0.002886850369333821
381165,0.5018319761146894
381166,0.7134450533089742
381167,0.004071052754911984
381168,0.0020101958060225215
381169,0.17018747098806392
381170,0.002360418521318575
381171,0.0024236041381825663
381172,0.7943338517859867
381173,0.47572507974309647
381174,0.001617208502192551
381175,0.002119958345221551
381176,0.0014394393290706896
381177,0.751368286123705
381178,0.5268704180373605
381179,0.0013958078627936206
381180,0.12825477865411056
381181,0.00143244604206262
381182,0.630073418721737
381183,0.0011064343490839203
381184,0.016815885474726695
381185,0.0018462729528643364
381186,0.8132942642690545
381187,0.863585041350882
381188,0.6143257575811212
381189,0.3630249253841375
381190,0.0025902018311289485
381191,0.6139120021519562
381192,0.22572287763277474
381193,0.013569020288888843
381194,0.6805269367475817
381195,0.2494939876013002
381196,0.003258186899814176
381197,0.13298290048924333
381198,0.6078715107398985
381199,0.8390375580674183
381200,0.0061354812789319365
